Indicator,Population,Gender,AgeMin,AgeMax,Value,Lower,Upper,NumTested,Year,UseDataInFit,Source,Notes,City,Province
HIV prevalence,All,Men,20,24,0.048,0.034,0.068,959,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,15,19,0.047,0.031,0.071,1106,2017,TRUE,zafhsrc2017,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,20,24,0.05,0.0307216,0.0807807,311.9892,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,55,59,0.055,0.0283001,0.1042044,156.27904,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,20,24,0.04,0.026470588,0.061764706,473.6948907,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,PWID,Women,18,49,0.09,0.02,0.21,46,2017,TRUE,scheibe2019harmredjourn,Cape town; no upper age,Cape town,Western Cape
HIV prevalence,All,Men,15,19,0.031,0.019852941,0.048529412,561.3144308,2022,TRUE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Men,0,14,0.026,0.019852941,0.0375,1249.567647,2022,FALSE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,All,Men,15,19,0.042,0.0187427,0.0896501,144.97536,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,55,59,0.064,0.0186033,0.1993241,39.06689,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,55,59,0.03,0.0158139,0.0556363,317.09728,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,15,19,0.032,0.0144207,0.0707107,181.74326,2005,TRUE,zafhsrc2005,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,20,24,0.026,0.0132495,0.0488636,346.61034,2016,TRUE,zafdhs2016,"DHS Survey, taken from 2023 AIM file",,
HIV prevalence,All,Women,0,14,0.022,0.0132,0.033,843.3411448,2022,FALSE,sabssm2023,SABSSM VI  - used plot digitzer for confidence intervals and effective sample size calculation,,
HIV prevalence,PWID,All,15,49,0.02,0.01,0.04,367,2017,TRUE,scheibe2020bmcinfdis,Cape Town: no max age,Cape Town,Western Cape
HIV prevalence,PWID,All,15,49,0.02,0.01,0.04,400,2017,TRUE,scheibe2020bmcinfdis,Pretoria; no max age; no derived CI because could not reconcile absolute number of positives (n=97),Pretoria,Gauteng
HIV prevalence,All,Men,15,19,0.027,0.0092465,0.0765612,122.87748,2008,TRUE,zafhsrc2008,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,All,Men,15,19,0.007,0.0035603,0.0124668,1461.2951,2012,TRUE,zafhsrc2012,"HSRC Survey, taken from 2023 AIM file",,
HIV prevalence,PWID,Women,18,49,0.04,0.001,0.2,26,2013,TRUE,scheibe2016intjdrugpolicy,Western Cape,Western Cape,Western Cape
HIV prevalence,PWID,All,18,49,0.09,,,,2013,FALSE,scheibe2016intjdrugpolicy,"Western Cape - no max age, use sex-specific results instead",western cape,western cape
HIV prevalence,PWID,All,18,49,0.16,,,,2013,FALSE,scheibe2016intjdrugpolicy,"Gauteng - no max age, use sex-specific results instead",gauteng,gauteng
HIV prevalence,PWID,All,18,49,0.17,,,,2013,FALSE,scheibe2016intjdrugpolicy,"Kwazulu-Natal - no max age, use sex-specific results instead",kwazulu-natal,kwazulu-natal
HIV prevalence,MSM,Men,18,44,0.301,,,480,2012,TRUE,sandfort2016aidsbehav,"RDS adjusted prevalence; estimate groups together gay and transgender, bisexual, straight, other",,
HIV prevalence,MSM,Men,15,49,0.313,,,150,2017,TRUE,jobson2017aidscare,No full access: estimate taken from Oli's sheet; year is study year,no,
HIV prevalence,MSM,Men,18,49,0.375,,,300,2017,TRUE,fearon2020plosone,Johannesburg only; may have included males who were assigned female at birth; RDS weighted estimate - therefore unclear how to derive the CI; no upper age,Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,49,0.41,,,746,2017,TRUE,scheibe2020bmcinfdis,Pretoria; no max age; no derived CI because could not reconcile absolute number of positives (n=97),Pretoria,Gauteng
HIV prevalence,MSM,Men,18,49,0.639,,,118,2017,TRUE,fearon2020jaids,"Johannesburg: RDS adjusted estimate: Note that this include 15% ""transfeminine"" and 7% ""non-binary"". Oli seemed to have an estimate for just TGW, but I was unable to find that in the study",johannesburg,Gauteng
HIV prevalence,MSM,Men,18,49,0.208,,,62,2012,FALSE,lane2014plosone,Ehlanzeni-raw,,
HIV prevalence,MSM,Men,18,49,0.358,,,110,2012,FALSE,lane2014plosone,Gert Sibande - raw,,
HIV prevalence,MSM,Men,18,49,,,,,,FALSE,lane2018biorxiv,Appears to be an analysis of IBBS data (already extracted as SAHMS) and extrapolation to other sites rather than primary collection,appears,
HIV prevalence,All,Men,15,49,0.116,,,,2008,FALSE,zafhsrc2008,note that this is a secondary source and no sample sizes,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0011094&type=printable
HIV prevalence,All,Women,15,49,0.213,,,,2008,FALSE,zafhsrc2008,note that this is a secondary source and no sample size,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0011094&type=printable
HIV prevalence,TGW,Women,18,49,0.57,,,18,2018,TRUE,jobson2018aidscare,"Cape Town: note TGW grouped with female but the latter only n=9 vs n=27 for TGW. Cannot derive confidence interval because number reported as 12/18 tested positive, but proportion reported as 57%. Year is the study year.",Cape Town,Western Cape
HIV prevalence,FSW,Women,18,49,0.18,,,384,2017,FALSE,scheibe2020bmcinfdis,Cape Town: Includes 12% male sex workers; did not derive CI because proportion was not exact relative to the numbers provided; assumed it was estimated or adjusted,Cape Town,Western Cape
HIV prevalence,FSW,Women,18,49,0.38,,,248,2017,TRUE,scheibe2020bmcinfdis,Port Elizabeth only; did not derive CI because proportion was not exact relative to the numbers provided; assumed it was estimated or adjusted,Port Elizabeth,Eastern Cape
HIV prevalence,FSW,Women,18,49,0.55,,,399,2017,TRUE,scheibe2020bmcinfdis,Durban only; did not derive CI because proportion was not exact relative to the numbers provided; assumed it was estimated or adjusted,Durban,Kwazulu-Natal
HIV prevalence,FSW,Women,18,49,0.56,,,248,2017,TRUE,scheibe2020bmcinfdis,Mathatha only; did not derive CI because proportion was not exact relative to the numbers provided; assumed it was estimated or adjusted,mathatha,Eastern Cape
HIV prevalence,FSW,Women,18,49,0.8,,,249,2017,TRUE,scheibe2020bmcinfdis,Pietermaritzburg only; did not derive CI because proportion was not exact relative to the numbers provided; assumed it was estimated or adjusted,Pietermaritzburg,Kwazulu-Natal
HIV prevalence,FSW,Women,18,49,0.551,,,280,2016,FALSE,coetzee2017plosone,Soweto only; no max age reported; not adjusted for RDS,Soweto,Gauteng
HIV prevalence,FSW,Women,15,49,0.64,,,410,2014,TRUE,shwartz2017sextransinf,Taken from Oli's sheet - need access. Note that Leigh reports prev = 61.5%,,
HIV prevalence,FSW,Women,15,49,0.5,,,416,1996,TRUE,ramjee2005jaids,"Durban and Johannesburg truck stops: study year was 2005,but tracing the clinical trial to another citation, the study year was 1996 (ramji1998sextransdis). Paper does not state it. No ages stated.",Multi,Eastern Cape
HIV prevalence,FSW,Women,,,,,,,2001,FALSE,leggett2001socintrans,"Cannot find overall numbers for HIV positive (only stratified by drug use), though Thembisa reports 42.6% as overall prevalence. Year assumed to be study year.",,
